doc_id,topic,title,source_type,source_url,pdf_url,year,published_date,authors,provider,provider_id,doi,citation_count,open_access_status,source_name,priority,status,collection_action,local_path,retrieved_at,notes
oarag_0011,rag,Integrating Retrieval-Augmented Generation with Large Language Models in Nephrology: Advancing Practical Applications,paper,https://doi.org/10.3390/medicina60030445,https://www.mdpi.com/1648-9144/60/3/445/pdf?version=1709877206,2024,2024-03-08,Jing Miao; Charat Thongprayoon; Supawadee Suppadungsuk; Oscar A. Garcia Valencia; Wisit Cheungpasitporn,openalex,W4392597393,https://doi.org/10.3390/medicina60030445,142,gold,Medicina,P1,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0012,rag,Retrieval-augmented generation for generative artificial intelligence in health care,paper,https://doi.org/10.1038/s44401-024-00004-1,https://www.nature.com/articles/s44401-024-00004-1.pdf,2025,2025-01-25,Rui Yang; Yilin Ning; Emilia Keppo; Mingxuan Liu; Chuan Hong; Danielle S. Bitterman; Jasmine Chiat Ling Ong; Daniel Shu Wei Ting; Nan Liu,openalex,W4406813548,https://doi.org/10.1038/s44401-024-00004-1,82,diamond,npj Health Systems,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0013,rag,Retrieval-Augmented Generation for AI-Generated Content: A Survey,paper,http://arxiv.org/abs/2402.19473,https://arxiv.org/pdf/2402.19473,2024,2024-02-29,"Penghao Zhao; Hailin Zhang; Qinhan Yu; Zhengren Wang; Yunteng Geng; Fangcheng Fu; L. Yang; Wentao Zhang; Jiang, Jie; Cui, Bin",openalex,W4393299232,https://doi.org/10.48550/arxiv.2402.19473,78,green,arXiv (Cornell University),P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0014,rag,Seven Failure Points When Engineering a Retrieval Augmented Generation System,paper,https://doi.org/10.1145/3644815.3644945,https://dl.acm.org/doi/pdf/10.1145/3644815.3644945,2024,2024-04-14,Scott Barnett; Stefanus Kurniawan; Srikanth Thudumu; Zach Brannelly; Mohamed Abdelrazek,openalex,W4399530612,https://doi.org/10.1145/3644815.3644945,100,gold,,P1,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0015,rag,Development of a liver disease–specific large language model chat interface using retrieval-augmented generation,paper,https://doi.org/10.1097/hep.0000000000000834,https://pmc.ncbi.nlm.nih.gov/articles/PMC11706764/pdf/nihms-2045726.pdf,2024,2024-03-07,Jin Ge; Steve Sun; Joseph F. Owens; Victor Galvez; Oksana Gologorskaya; Jennifer C. Lai; Mark J. Pletcher; Ki Lai,openalex,W4392544551,https://doi.org/10.1097/hep.0000000000000834,127,green,Hepatology,P1,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0016,rag,HybridRAG: Integrating Knowledge Graphs and Vector Retrieval Augmented Generation for Efficient Information Extraction,paper,https://doi.org/10.1145/3677052.3698671,https://dl.acm.org/doi/pdf/10.1145/3677052.3698671,2024,2024-11-14,Bhaskarjit Sarmah; Dhagash Mehta; Benika Hall; Rohan Rao; Sunil Patel; Stefano Pasquali,openalex,W4404351611,https://doi.org/10.1145/3677052.3698671,95,gold,,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0017,rag,Searching for Best Practices in Retrieval-Augmented Generation,paper,https://doi.org/10.18653/v1/2024.emnlp-main.981,https://aclanthology.org/2024.emnlp-main.981.pdf,2024,2024-01-01,Xiaohua Wang; Zhenhua Wang; Xuan Gao; Feiran Zhang; Yixin Wu; Zhibo Xu; Tianyuan Shi; Zhengyuan Wang; Shizheng Li; Qian Qi; Ruicheng Yin; Changze Lv; Xiaoqing Zheng; Xuanjing Huang,openalex,W4404782883,https://doi.org/10.18653/v1/2024.emnlp-main.981,76,gold,,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0018,rag,Retrieval-Augmented Generation (RAG) Chatbots for Education: A Survey of Applications,paper,https://doi.org/10.3390/app15084234,https://www.mdpi.com/2076-3417/15/8/4234/pdf?version=1744376329,2025,2025-04-11,Jakub Swacha; Michał Gracel,openalex,W4409348640,https://doi.org/10.3390/app15084234,66,gold,Applied Sciences,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0019,rag,GRAG: Graph Retrieval-Augmented Generation,paper,https://doi.org/10.18653/v1/2025.findings-naacl.232,https://aclanthology.org/2025.findings-naacl.232.pdf,2025,2025-01-01,Yuntong Hu; Zhihan Lei; Zheng Zhang; Bo Pan; Chen Ling; Liang Zhao,openalex,W4411120544,https://doi.org/10.18653/v1/2025.findings-naacl.232,46,gold,,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0020,rag,Rag-Fusion: A New Take on Retrieval Augmented Generation,paper,https://doi.org/10.5121/ijnlc.2024.13103,https://doi.org/10.5121/ijnlc.2024.13103,2024,2024-02-28,Zackary Rackauckas,openalex,W4391631359,https://doi.org/10.5121/ijnlc.2024.13103,59,diamond,International Journal on Natural Language Computing,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0021,rag,Retrieval augmented generation for 10 large language models and its generalizability in assessing medical fitness,paper,https://doi.org/10.1038/s41746-025-01519-z,https://www.nature.com/articles/s41746-025-01519-z.pdf,2025,2025-04-05,Yu He Ke; Liyuan Jin; Kabilan Elangovan; Hairil Rizal Abdullah; Nan Liu; Alex Tiong Heng Sia; Chai Rick Soh; Joshua Yi Min Tung; Jasmine Chiat Ling Ong; Chang‐Fu Kuo; Shaochun Wu; Vesela Kovacheva; Daniel Shu Wei Ting,openalex,W4409157497,https://doi.org/10.1038/s41746-025-01519-z,91,gold,npj Digital Medicine,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0022,rag,Design and Evaluation of a Retrieval-Augmented Generation Architecture for OWASP Security Data,paper,http://arxiv.org/abs/2309.15217,https://arxiv.org/pdf/2309.15217,2023,2023-09-26,"Es, Shahul; Jithin James; Luis Espinosa-Anke; Steven Schockaert",openalex,W4387156782,https://doi.org/10.48550/arxiv.2309.15217,68,green,arXiv (Cornell University),P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0023,rag,Retrieval-augmented generation for educational application: A systematic survey,paper,https://doi.org/10.1016/j.caeai.2025.100417,https://doi.org/10.1016/j.caeai.2025.100417,2025,2025-05-14,Zongxi Li; Zijian Wang; Weiming Wang; Kevin Hung; Haoran Xie; Fu Lee Wang,openalex,W4410362031,https://doi.org/10.1016/j.caeai.2025.100417,58,gold,Computers and Education Artificial Intelligence,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0024,rag,ARES: An Automated Evaluation Framework for Retrieval-Augmented Generation Systems,paper,https://doi.org/10.18653/v1/2024.naacl-long.20,https://aclanthology.org/2024.naacl-long.20.pdf,2024,2024-01-01,Jon Saad-Falcon; Omar Khattab; Christopher Potts; Matei Zaharia,openalex,W4401042808,https://doi.org/10.18653/v1/2024.naacl-long.20,81,gold,,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0025,rag,CareerX: A Retrieval-Augmented Generation Framework for Personalized AI-Driven Career Guidance,paper,http://arxiv.org/abs/2310.11511,https://arxiv.org/pdf/2310.11511,2023,2023-10-17,Akari Asai; Zeqiu Wu; Yizhong Wang; Avirup Sil; Hannaneh Hajishirzi,openalex,W4387800173,https://doi.org/10.48550/arxiv.2310.11511,86,green,arXiv (Cornell University),P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0026,rag,"Improving large language model applications in biomedicine with retrieval-augmented generation: a systematic review, meta-analysis, and clinical development guidelines",paper,https://doi.org/10.1093/jamia/ocaf008,https://academic.oup.com/jamia/advance-article-pdf/doi/10.1093/jamia/ocaf008/61442713/ocaf008.pdf,2025,2025-01-15,Siru Liu; Allison B. McCoy; Adam Wright,openalex,W4406421570,https://doi.org/10.1093/jamia/ocaf008,104,hybrid,Journal of the American Medical Informatics Association,P1,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0027,rag,Retrieval-Augmented Generation for Code Summarization via Hybrid GNN,paper,http://arxiv.org/abs/2006.05405,https://arxiv.org/pdf/2006.05405,2020,2020-06-09,Shangqing Liu; Yu Chen; Xiaofei Xie; Jing Kai Siow; Yang Liu,openalex,W3123811550,https://doi.org/10.48550/arxiv.2006.05405,69,green,arXiv (Cornell University),P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0028,rag,Fine Tuning vs. Retrieval Augmented Generation for Less Popular Knowledge,paper,https://doi.org/10.1145/3673791.3698415,https://dl.acm.org/doi/pdf/10.1145/3673791.3698415,2024,2024-12-08,Heydar Soudani; Evangelos Kanoulas; Faegheh Hasibi,openalex,W4392487838,https://doi.org/10.1145/3673791.3698415,63,gold,,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0029,rag,Applying generative AI with retrieval augmented generation to summarize and extract key clinical information from electronic health records,paper,https://doi.org/10.1016/j.jbi.2024.104662,https://doi.org/10.1016/j.jbi.2024.104662,2024,2024-06-14,Mohammad Alkhalaf; Ping Yu; Mengyang Yin; Chao Deng,openalex,W4399660853,https://doi.org/10.1016/j.jbi.2024.104662,111,hybrid,Journal of Biomedical Informatics,P1,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0030,rag,CRUD-RAG: A Comprehensive Chinese Benchmark for Retrieval-Augmented Generation of Large Language Models,paper,https://doi.org/10.1145/3701228,https://dl.acm.org/doi/pdf/10.1145/3701228,2024,2024-10-19,Yuanjie Lyu; Zhiyu Li; Simin Niu; Feiyu Xiong; Bo Tang; Wenjin Wang; Hao Wu; Huanyong Liu; Tong Xu; Enhong Chen,openalex,W4403560390,https://doi.org/10.1145/3701228,76,bronze,ACM Transactions on Information Systems,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0031,rag,Retrieval-augmented Generation across Heterogeneous Knowledge,paper,https://doi.org/10.18653/v1/2022.naacl-srw.7,https://aclanthology.org/2022.naacl-srw.7.pdf,2022,2022-01-01,Wenhao Yu,openalex,W4287891177,https://doi.org/10.18653/v1/2022.naacl-srw.7,40,gold,,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0032,rag,Retrieval-Augmented Generation–Enabled GPT-4 for Clinical Trial Screening,paper,https://doi.org/10.1056/aioa2400181,https://ai.nejm.org/doi/pdf/10.1056/AIoa2400181,2024,2024-06-17,Ozan Ünlü; Jiyeon Shin; Charlotte Mailly; Michael Oates; Michela Tucci; Matthew Varugheese; Kavishwar B. Wagholikar; Fei Wang; Benjamin M. Scirica; Alexander Blood; Samuel Aronson,openalex,W4399738410,https://doi.org/10.1056/aioa2400181,67,bronze,NEJM AI,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0033,rag,Enhancing medical AI with retrieval-augmented generation: A mini narrative review,paper,https://doi.org/10.1177/20552076251337177,https://doi.org/10.1177/20552076251337177,2025,2025-04-01,Omid Kohandel Gargari; Gholamreza Habibi,openalex,W4409690035,https://doi.org/10.1177/20552076251337177,61,gold,Digital Health,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0034,rag,MedRAG: Enhancing Retrieval-augmented Generation with Knowledge Graph-Elicited Reasoning for Healthcare Copilot,paper,https://doi.org/10.1145/3696410.3714782,https://dl.acm.org/doi/pdf/10.1145/3696410.3714782,2025,2025-04-22,Xuejiao Zhao; Siyan Liu; Su-Yin Yang; Chunyan Miao,openalex,W4409657176,https://doi.org/10.1145/3696410.3714782,70,gold,,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0035,rag,The Good and The Bad: Exploring Privacy Issues in Retrieval-Augmented Generation (RAG),paper,https://doi.org/10.18653/v1/2024.findings-acl.267,https://aclanthology.org/2024.findings-acl.267.pdf,2024,2024-01-01,Shenglai Zeng; Jiankun Zhang; Pengfei He; Yiding Liu; Yue Xing; Xu Han; Jie Ren; Chang Yi; Shuaiqiang Wang; Dawei Yin; Jiliang Tang,openalex,W4402670423,https://doi.org/10.18653/v1/2024.findings-acl.267,70,gold,,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0036,rag,Corrective Retrieval Augmented Generation,paper,http://arxiv.org/abs/2401.15884,https://arxiv.org/pdf/2401.15884,2024,2024-01-29,Shi-Qi Yan; Jia-Chen Gu; Yun Zhu; Zhen-Hua Ling,openalex,W4391418506,https://doi.org/10.48550/arxiv.2401.15884,24,green,arXiv (Cornell University),P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0037,rag,Empowering LLMs by hybrid retrieval-augmented generation for domain-centric Q&amp;A in smart manufacturing,paper,https://doi.org/10.1016/j.aei.2025.103212,https://doi.org/10.1016/j.aei.2025.103212,2025,2025-02-22,Yuwei Wan; Zheyuan Chen; Ying Liu; Chong Chen; Michael Packianather,openalex,W4407856367,https://doi.org/10.1016/j.aei.2025.103212,58,hybrid,Advanced Engineering Informatics,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0038,rag,Reducing hallucination in structured outputs via Retrieval-Augmented Generation,paper,https://doi.org/10.18653/v1/2024.naacl-industry.19,https://aclanthology.org/2024.naacl-industry.19.pdf,2024,2024-01-01,Orlando Ayala; Patrice Bechard,openalex,W4401042735,https://doi.org/10.18653/v1/2024.naacl-industry.19,51,gold,,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0039,rag,Systematic Analysis of Retrieval-Augmented Generation-Based LLMs for Medical Chatbot Applications,paper,https://doi.org/10.3390/make6040116,https://www.mdpi.com/2504-4990/6/4/116/pdf?version=1729764084,2024,2024-10-18,Arunabh Bora; Heriberto Cuayáhuitl,openalex,W4403646833,https://doi.org/10.3390/make6040116,47,gold,Machine Learning and Knowledge Extraction,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0040,rag,Retrieval-Augmented Generation (RAG) in Healthcare: A Comprehensive Review,paper,https://doi.org/10.3390/ai6090226,https://www.mdpi.com/2673-2688/6/9/226/pdf?version=1757581602,2025,2025-09-11,Fnu Neha; Deepshikha Bhati; Deepak Kumar Shukla,openalex,W4414128336,https://doi.org/10.3390/ai6090226,35,gold,AI,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0041,rag,Dynamic Retrieval Augmented Generation of Ontologies using Artificial Intelligence (DRAGON-AI),paper,https://doi.org/10.1186/s13326-024-00320-3,https://jbiomedsem.biomedcentral.com/counter/pdf/10.1186/s13326-024-00320-3,2024,2024-10-16,Sabrina Toro; Anna V. Anagnostopoulos; Susan M. Bello; Kai Blumberg; Rhiannon Cameron; Leigh Carmody; Alexander D. Diehl; Damion Dooley; William D. Duncan; Petra Fey; Pascale Gaudet; Nomi L. Harris; Marcin P. Joachimiak; Leila Kiani; Tiago Lubiana; Mónica Muñoz-Torres; Shawn T. O’Neil; David Osumi-Sutherland; Aleix Puig-Barbe; Justin Reese; Leonore Reiser; Sofia Robb; Troy Ruemping; James Seager; Eric Sid; Ray Stefancsik; Magalie Weber; Valerie Wood; Melissa Haendel; Chris Mungall,openalex,W4403458599,https://doi.org/10.1186/s13326-024-00320-3,44,gold,Journal of Biomedical Semantics,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0042,rag,Automating Systematic Literature Reviews with Retrieval-Augmented Generation: A Comprehensive Overview,paper,https://doi.org/10.3390/app14199103,https://www.mdpi.com/2076-3417/14/19/9103/pdf?version=1728436391,2024,2024-10-09,Binglan Han; Teo Sušnjak; Anuradha Mathrani,openalex,W4403248625,https://doi.org/10.3390/app14199103,41,gold,Applied Sciences,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0043,rag,Improving Retrieval-Augmented Generation in Medicine with Iterative Follow-up Questions,paper,https://doi.org/10.1142/9789819807024_0015,https://doi.org/10.1142/9789819807024_0015,2024,2024-11-21,Guangzhi Xiong; Qiao Jin; Xiao Wang; Minjia Zhang; Zhiyong Lu; Aidong Zhang,openalex,W4404622689,https://doi.org/10.1142/9789819807024_0015,42,gold,,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0044,rag,Knowledge Graph-Guided Retrieval Augmented Generation,paper,https://doi.org/10.18653/v1/2025.naacl-long.449,https://aclanthology.org/2025.naacl-long.449.pdf,2025,2025-01-01,Xiangrong Zhu; Yuexiang Xie; Yi Liu; Yuanman Li; Wei Hu,openalex,W4411119292,https://doi.org/10.18653/v1/2025.naacl-long.449,37,gold,,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0045,rag,DRAGIN: Dynamic Retrieval Augmented Generation based on the Real-time Information Needs of Large Language Models,paper,https://doi.org/10.18653/v1/2024.acl-long.702,https://aclanthology.org/2024.acl-long.702.pdf,2024,2024-01-01,Weihang Su; Yichen Tang; Qingyao Ai; Zhijing Wu; Yiqun Liu,openalex,W4402671152,https://doi.org/10.18653/v1/2024.acl-long.702,47,gold,,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0046,rag,Graph Retrieval-Augmented Generation: A Survey,paper,http://arxiv.org/abs/2408.08921,https://arxiv.org/pdf/2408.08921,2024,2024-08-15,Boci Peng; Yun Zhu; Yongchao Liu; Xiaohe Bo; Haizhou Shi; Chuntao Hong; Yan Zhang; Siliang Tang,openalex,W4403589311,https://doi.org/10.48550/arxiv.2408.08921,22,green,arXiv (Cornell University),P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0047,rag,Web Application for Retrieval-Augmented Generation: Implementation and Testing,paper,https://doi.org/10.3390/electronics13071361,https://www.mdpi.com/2079-9292/13/7/1361/pdf?version=1712217836,2024,2024-04-04,Irina Radeva; Иван Попчев; Lyubka Doukovska; Miroslava Dimitrova,openalex,W4393948917,https://doi.org/10.3390/electronics13071361,28,gold,Electronics,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0048,rag,GastroBot: a Chinese gastrointestinal disease chatbot based on the retrieval-augmented generation,paper,https://doi.org/10.3389/fmed.2024.1392555,https://www.frontiersin.org/articles/10.3389/fmed.2024.1392555/pdf?isPublishedV2=False,2024,2024-05-22,Qingqing Zhou; Can Liu; Yuchen Duan; Kaijie Sun; Yu Li; Hongxing Kan; Zongyun Gu; Jianhua Shu; Jili Hu,openalex,W4398218462,https://doi.org/10.3389/fmed.2024.1392555,35,gold,Frontiers in Medicine,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0049,rag,Knowledge graph enhanced retrieval-augmented generation for failure mode and effects analysis,paper,https://doi.org/10.1016/j.jii.2025.100807,https://doi.org/10.1016/j.jii.2025.100807,2025,2025-03-06,Lukas Bahr; Christoph Wehner; Judith Wewerka; José Bittencourt; Ute Schmid; Rüdiger Daub,openalex,W4408184619,https://doi.org/10.1016/j.jii.2025.100807,36,hybrid,Journal of Industrial Information Integration,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0050,rag,Evaluating Retrieval-Augmented Generation Models for Financial Report Question and Answering,paper,https://doi.org/10.3390/app14209318,https://www.mdpi.com/2076-3417/14/20/9318/pdf?version=1728883923,2024,2024-10-12,Ivan Iaroshev; Ramalingam Pillai; Leandro Vaglietti; Thomas Hanne,openalex,W4403493226,https://doi.org/10.3390/app14209318,33,gold,Applied Sciences,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0051,rag,Enhancing the Precision and Interpretability of Retrieval-Augmented Generation (RAG) in Legal Technology: A Survey,paper,https://doi.org/10.1109/access.2025.3550145,https://doi.org/10.1109/access.2025.3550145,2025,2025-01-01,Mahd Hindi; Linda Mohammed; Ommama Maaz; Abdulmalik Alwarafy,openalex,W4408323770,https://doi.org/10.1109/access.2025.3550145,36,gold,IEEE Access,P2,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
