doc_id,title,topic,source_type,source_url,published_date,year,authors,local_path,status,notes,has_clear_timeline_signal,priority,collection_action
agent_010,"Voyager: An Open-Ended Embodied Agent with Large Language Models",ai_agent,paper,https://arxiv.org/abs/2305.16291,2023-05-25,2023,Guanzhi Wang; Yuqi Xie; Yunfan Jiang; Ashwin Mandadjiev; Chaowei Xiao; Yuke Zhu; Linxi Fan; Anima Anandkumar,ai_agent/agent_010.pdf,candidate,Drive-only PDF; Proposes Voyager agent with lifelong learning in Minecraft,yes,P1,convert_pdf_later
agent_011,Cognitive Architectures for Language Agents,ai_agent,survey,https://arxiv.org/abs/2309.02427,2023-09-05,2023,Theodore R. Sumers; Shunyu Yao; Karthik Narasimhan; Thomas L. Griffiths,ai_agent/agent_011.pdf,candidate,Drive-only PDF; Maps LLM agents to classical cognitive architectures,yes,P1,convert_pdf_later
agent_012,BabyAGI GitHub repository README,ai_agent,github,https://github.com/yoheinakajima/babyagi/blob/main/README.md,,2023,Yohei Nakajima,ai_agent/agent_012.md,candidate,GitHub README of BabyAGI task-driven autonomous agent,yes,P1,download_text
agent_013,OpenAI: Function Calling and Other API Updates,ai_agent,blog,https://openai.com/index/function-calling-and-other-api-updates/,2023-06-13,2023,OpenAI,ai_agent/agent_013.md,candidate,OpenAI blog post announcing function calling capabilities,yes,P1,download_text
agent_014,LLM Agents in the Wild,ai_agent,blog,https://sebastianraschka.com/blog/2023/llm-agents-wild.html,2023-08-10,2023,Sebastian Raschka,ai_agent/agent_014.md,candidate,Sebastian Raschka survey-style blog of agent frameworks,yes,P2,download_text
agent_015,"HugGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face",ai_agent,paper,https://arxiv.org/abs/2303.17580,2023-03-30,2023,Yongliang Shen; Kaitao Song; Xu Tan; Dongsheng Li; Weiming Lu; Yueting Zhuang,ai_agent/agent_015.pdf,candidate,Drive-only PDF; Proposes HugGPT task planner using Hugging Face models,yes,P2,convert_pdf_later
agent_016,Introducing LangGraph: Multi-Agent Workflows,ai_agent,blog,https://blog.langchain.dev/langgraph/,2024-01-16,2024,Harrison Chase,ai_agent/agent_016.md,candidate,LangChain blog announcing LangGraph library and agent loops,yes,P2,download_text
kd_002,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",knowledge_distillation,paper,https://arxiv.org/abs/1910.01108,2019-10-02,2019,Victor Sanh; Lysandre Debut; Julien Chaumond; Thomas Wolf,knowledge_distillation/kd_002.pdf,candidate,Drive-only PDF; Foundational BERT distillation paper from HuggingFace,yes,P0,convert_pdf_later
kd_003,"TinyBERT: Distilling BERT for Natural Language Understanding",knowledge_distillation,paper,https://arxiv.org/abs/1909.10351,2019-09-06,2019,Xiaoqi Jiao; Yichun Yin; Lifeng Shang; Xin Jiang; Xiao Chen; Linlin Li; Fang Wang; Qun Liu,knowledge_distillation/kd_003.pdf,candidate,Drive-only PDF; Proposes two-stage pre-training/finetuning distillation,yes,P0,convert_pdf_later
kd_004,Knowledge Distillation: A Survey,knowledge_distillation,survey,https://arxiv.org/abs/2006.05525,2020-06-09,2020,Jianping Gou; Baosheng Yu; Stephen J. Maybank; Dacheng Tao,knowledge_distillation/kd_004.pdf,candidate,Drive-only PDF; Key comprehensive survey of classical KD paradigms,yes,P0,convert_pdf_later
kd_005,"Distilling Step-by-Step! Outperforming Larger Language Models with Less Training Data and Smaller Models",knowledge_distillation,paper,https://arxiv.org/abs/2305.02301,2023-05-03,2023,Cheng-Yu Hsieh; Chun-Liang Li; Chih-Kuan Yeh; Hootan Nakhost; Yasuhisa Fujii; Alexander Ratner; Ranjay Krishna; Chen-Yu Lee; Tomas Pfister,knowledge_distillation/kd_005.pdf,candidate,Drive-only PDF; Distills LLM reasoning/rationales into smaller models,yes,P0,convert_pdf_later
kd_006,"Survey on Knowledge Distillation for Large Language Models: Methods, Evaluation, and Application",knowledge_distillation,survey,https://arxiv.org/abs/2407.01885,2024-07-02,2024,Chuanpeng Yang; Wang Lu; Yao Zhu; Yidong Wang; Qian Chen; Chenlong Gao; Bingjie Yan; Yiqiang Chen,knowledge_distillation/kd_006.pdf,candidate,Drive-only PDF; Survey on KD methods/evaluation/applications for LLMs,yes,P0,convert_pdf_later
kd_007,Patient Knowledge Distillation for BERT Model Compression,knowledge_distillation,paper,https://arxiv.org/abs/1908.09355,2019-08-26,2019,Siqi Sun; Yu Cheng; Zhe Gan; Jingjing Liu,knowledge_distillation/kd_007.pdf,candidate,Drive-only PDF; Proposes layer-patient KD for BERT intermediate layers,yes,P1,convert_pdf_later
kd_008,"MiniLM: Deep Self-Attention Distillation for Task-Agnostic Relation Extraction",knowledge_distillation,paper,https://arxiv.org/abs/2002.10957,2020-02-25,2020,Wenhui Wang; Furu Wei; Lei Dong; Hangbo Bao; Nan Yang; Zhoujun Li,knowledge_distillation/kd_008.pdf,candidate,Drive-only PDF; Proposes relation distillation of attention matrices,yes,P1,convert_pdf_later
kd_009,"MobileBERT: a Compact Task-Agnostic BERT for Resource-Limited Devices",knowledge_distillation,paper,https://arxiv.org/abs/2004.02984,2020-04-06,2020,Zhiqing Sun; Hongkun Yu; Xiaodan Song; Renjie Liu; Yiming Yang; Denny Zhou,knowledge_distillation/kd_009.pdf,candidate,Drive-only PDF; Proposes MobileBERT with bottleneck structures and KD,yes,P1,convert_pdf_later
kd_010,Distilling the Knowledge in a Neural Network (Blog review),knowledge_distillation,blog,https://sebastianraschka.com/blog/2021/distillation-hinton.html,2021-03-12,2021,Sebastian Raschka,knowledge_distillation/kd_010.md,candidate,Review blog of Hinton foundational KD paper by Raschka,yes,P1,download_text
kd_011,Hugging Face DistilBERT Blog Post,knowledge_distillation,blog,https://huggingface.co/blog/porting-distilbert,2019-10-23,2019,Thomas Wolf,knowledge_distillation/kd_011.md,candidate,Hugging Face blog on porting DistilBERT development details,yes,P1,download_text
kd_012,MiniLLM: On-Policy Distillation of Large Language Models,knowledge_distillation,paper,https://arxiv.org/abs/2306.08543,2023-06-14,2023,Yuxian Gu; Li Dong; Furu Wei; Minlie Huang,knowledge_distillation/kd_012.pdf,candidate,Drive-only PDF; On-policy distillation method for LLMs,yes,P1,convert_pdf_later
kd_013,Distilling step-by-step: HuggingFace implementation,knowledge_distillation,blog,https://huggingface.co/blog/distilling-step-by-step,2023-11-20,2023,Hugging Face Authors,knowledge_distillation/kd_013.md,candidate,HF Blog on step-by-step LLM rationale distillation guide,yes,P1,download_text
kd_014,MiniLM v2: Multi-Head Relation Distillation,knowledge_distillation,paper,https://arxiv.org/abs/2012.15828,2020-12-30,2020,Wenhui Wang; Hangbo Bao; Shaohan Huang; Furu Wei; Zhoujun Li,knowledge_distillation/kd_014.pdf,candidate,Drive-only PDF; Proposes relation distillation on keys/values/queries,yes,P2,convert_pdf_later
kd_015,DistiLLM: Towards Streamlined Distillation for Large Language Models,knowledge_distillation,paper,https://arxiv.org/abs/2402.03898,2024-02-06,2024,Jongwoo Ko; Sungnyun Kim; Tianyi Chen; Se-Young Yun,knowledge_distillation/kd_015.pdf,candidate,Drive-only PDF; KD framework for autoregressive LLMs using skew KL and adaptive off-policy learning,yes,P2,convert_pdf_later
kd_016,Direct Preference Knowledge Distillation for Large Language Models,knowledge_distillation,paper,https://arxiv.org/abs/2406.19774,2024-06-28,2024,Yixing Li; Yuxian Gu; Li Dong; Dequan Wang; Yu Cheng; Furu Wei,knowledge_distillation/kd_016.pdf,candidate,Drive-only PDF; Proposes DPKD for LLMs with preference loss and implicit reward,yes,P2,convert_pdf_later
