sentence_id,doc_id,chunk_id,topic,title,source_url,year,sentence,is_event,event_type,annotator,label_method,notes,suggested_is_event,suggested_event_type,rule_confidence,rule_reason,needs_review
agent_001_s0127,agent_001,agent_001_c0016,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"Maximum Inner Product Search (MIPS)
#
The external memory can alleviate the restriction of finite attention span.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0153,agent_001,agent_001_c0019,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"(Image source:
Google Blog, 2020
)
Check more MIPS algorithms and performance comparison in
ann-benchmarks.com
.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0157,agent_001,agent_001_c0020,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,f human beings.,,,,,,0,none,high,Structural non-event: sentence length too short,0
agent_001_s0163,agent_001,agent_001_c0020,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"2022
), short for ""Modular Reasoning, Knowledge and Language"", is a neuro-symbolic architecture for autonomous agents.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0164,agent_001,agent_001_c0020,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"A MRKL system is proposed to contain a collection of ""expert"" modules and the general-purpose LLM works as a router to route inquiries to the best suitable expert module.",,,,,,1,method_proposed,high,third-party propose/introduce verb,0
agent_001_s0166,agent_001,agent_001_c0020,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"They did an experiment on fine-tuning LLM to call a calculator, using arithmetic as a test case.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0167,agent_001,agent_001_c0020,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,Their experiments showed that it was harder,,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0174,agent_001,agent_001_c0021,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"2023
) fine-tune a LM to learn to use external tool APIs. The dataset is expanded based on whether a newly added API call annotation can improve the quality of model outputs.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0184,agent_001,agent_001_c0022,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"2023
)
The system comprises of 4 stages:
(1) Task planning
: LLM works as the brain and parses the user requests into multiple tasks.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0194,agent_001,agent_001_c0023,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"There is a logical relationship between tasks, please note their order.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0213,agent_001,agent_001_c0025,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"(3) Task execution
: Expert models execute on the specific tasks and log results.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0224,agent_001,agent_001_c0026,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"2023
) is a benchmark for evaluating the performance of tool-augmented LLMs. It contains 53 commonly used API tools, a complete tool-augmented LLM workflow, and 264 annotated dialogues that involve 568 API calls.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0229,agent_001,agent_001_c0027,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,Pseudo code of how LLM makes an API call in API-Bank.,,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0231,agent_001,agent_001_c0027,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"2023
)
In the API-Bank workflow, LLMs need to make a couple of decisions and at each step we can evaluate how accurate that decision is.",,,,,,0,none,low,Vague keywords without structural confirmation.,1
agent_001_s0235,agent_001,agent_001_c0027,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"This benchmark evaluates the agent's tool use capabilities at three levels:
Level-1 evaluates the ability to
call the API
.",,,,,,0,none,low,Vague keywords without structural confirmation.,1
agent_001_s0242,agent_001,agent_001_c0028,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"Given unclear user requests (e.g. schedule group meetings, book flight/hotel/restaurant for a trip), the model may have to conduct multiple API calls to solve it.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0244,agent_001,agent_001_c0028,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"2023
) is a domain-specific example in which LLM is augmented with 13 expert-designed tools to accomplish tasks across organic synthesis, drug discovery, and materials design.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0245,agent_001,agent_001_c0028,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"The workflow, implemented in
LangChain
, reflects what was previously described in the
ReAct
and
MRKLs
and combines CoT",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0247,agent_001,agent_001_c0029,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"The workflow, implemented in
LangChain
, reflects what was previously described in the
ReAct
and
MRKLs
and combines CoT reasoning with tools relevant to the tasks:
The LLM is provided with a list of tool names, descriptions of their utility, and details about the expected input/output.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0250,agent_001,agent_001_c0029,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"One interesting observation is that while the LLM-based evaluation concluded that GPT-4 and ChemCrow perform nearly equivalently, human evaluations with experts oriented towards the completion and chemical correctness of the solutions showed that ChemCrow outperforms GPT-4 by a large margin.",,,,,,0,none,low,Vague keywords without structural confirmation.,1
agent_001_s0256,agent_001,agent_001_c0030,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"(2023)
also looked into LLM-empowered agents for scientific discovery, to handle autonomous design, planning, and performance of complex scientific experiments.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0263,agent_001,agent_001_c0031,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"7 out of 11 were rejected and among these 7 rejected cases, 5 happened after a Web search while 2 were rejected based on prompt only.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0264,agent_001,agent_001_c0031,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"Generative Agents Simulation
#
Generative Agents
(
Park, et al.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0265,agent_001,agent_001_c0031,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"2023
) is super fun experiment where 25 virtual characters, each controlled by a LLM-powered agent, are living and interacting in a sandbox environment, inspired by The Sims.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0272,agent_001,agent_001_c0032,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"Each element is an
observation
, an event directly provided by the agent.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0286,agent_001,agent_001_c0033,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"Prompt template:
{Intro of an agent X}.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0296,agent_001,agent_001_c0034,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,A lot of code in AutoGPT is about format parsing.,,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0297,agent_001,agent_001_c0034,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"Here is the system message used by AutoGPT, where
{{...}}
are user inputs:
You are {{ai-name}}, {{user-provided AI bot description}}.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0317,agent_001,agent_001_c0036,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"Start GPT Agent: ""start_agent"", args: ""name"": """", ""task"": ""<short_task_desc>"", ""prompt"": """"
4.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0323,agent_001,agent_001_c0036,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"Read file: ""read_file"", args: ""file"": """"
10.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0332,agent_001,agent_001_c0037,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"Write Tests: ""write_tests"", args: ""code"": ""<full_code_string>"", ""focus"": ""<list_of_focus_areas>""
16.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0353,agent_001,agent_001_c0039,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,Here are a sample conversation for task clarification sent to OpenAI ChatCompletion endpoint used by GPT-Engineer.,,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0375,agent_001,agent_001_c0042,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"itecture is, in the end, implemented as code.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0388,agent_001,agent_001_c0043,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,Follow a language and framework appropriate best practice file naming convention.,,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0398,agent_001,agent_001_c0043,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,You try to add comments explaining very complex bits of logic.,,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0408,agent_001,agent_001_c0046,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"implement all code, if you are unsure, write a plausible implementation.\nInclude module dependency or package manager dependency definition file.\nBefore you finish, double check that all parts of the architecture is present in the files.\n\nUseful to know:\nYou almost always put different classes in different files.\nFor Python, you always create an appropriate requirements.txt file.\nFor NodeJS, you always create an appropriate package.json file.\nYou always add a comment briefly describing the purpose of the function definition.\nYou try to add comments explaining very complex bits of logic.\nYou always follow the best practices for the requested languages in terms of describing the code written as a defined\npackage/project.\n\n\nPython toolbelt preferences:\n- pytest\n- dataclasses\n""
},
# ...",,,,,,1,method_proposed,high,third-party propose/introduce verb,1
agent_001_s0435,agent_001,agent_001_c0050,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,https://lilianweng.github.io/posts/2023-06-23-agent/.,,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0437,agent_001,agent_001_c0051,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,on parsing model output.,,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0440,agent_001,agent_001_c0051,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,https://lilianweng.github.io/posts/2023-06-23-agent/.,,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0441,agent_001,agent_001_c0051,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"Or
@article{weng2023agent,
title = ""LLM-powered Autonomous Agents"",
author = ""Weng, Lilian"",
journal = ""lilianweng.github.io"",
year = ""2023"",
month = ""Jun"",
url = ""https://lilianweng.github.io/posts/2023-06-23-agent/""
}
References
#
[1] Wei et al.",,,,,,0,none,high,"Structural non-event: bibliography/citation pattern, math/notation",0
agent_001_s0444,agent_001,agent_001_c0051,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"""Chain of Hindsight Aligns Language Models with Feedback
""
arXiv preprint arXiv:2302.02676 (2023).",,,,,,0,none,high,Structural non-event: bibliography/citation pattern,0
agent_001_s0445,agent_001,agent_001_c0051,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"""LLM+P: Empowering Large Language Models with Optimal Planning Proficiency""
arXiv preprint arXiv:2304.11477 (2023).",,,,,,0,none,high,Structural non-event: bibliography/citation pattern,0
agent_001_s0446,agent_001,agent_001_c0051,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"""ReAct: Synergizing reasoning and acting in language models.""
ICLR 2023.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0449,agent_001,agent_001_c0052,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"with Optimal Planning Proficiency""
arXiv preprint arXiv:2304.11477 (2023).",,,,,,0,none,high,Structural non-event: bibliography/citation pattern,0
agent_001_s0452,agent_001,agent_001_c0052,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"""Announcing ScaNN: Efficient Vector Similarity Search""
July 28, 2020.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0458,agent_001,agent_001_c0052,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"""MRKL Systems A modular, neuro-symbolic architecture that combines large language models, external knowledge sources and discrete reasoning.""
arXiv preprint arXiv:2205.00445 (2022).",,,,,,0,none,high,Structural non-event: bibliography/citation pattern,0
agent_001_s0470,agent_001,agent_001_c0053,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"""API-Bank: A Benchmark for Tool-Augmented LLMs""
arXiv preprint arXiv:2304.08244 (2023).",,,,,,0,none,high,Structural non-event: bibliography/citation pattern,0
agent_001_s0472,agent_001,agent_001_c0053,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"""HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in HuggingFace""
arXiv preprint arXiv:2303.17580 (2023).",,,,,,0,none,high,Structural non-event: bibliography/citation pattern,0
agent_001_s0483,agent_001,agent_001_c0054,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"https://github.com/Significant-Gravitas/Auto-GPT
[21] GPT-Engineer.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0484,agent_001,agent_001_c0054,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"https://github.com/AntonOsika/gpt-engineer
Nlp
Language-Model
Agent
Steerability
Prompting
Adversarial Attacks on LLMs
Prompt Engineering",,,,,,0,none,high,"No matching rules, default to none.",0
agent_002_s0489,agent_002,agent_002_c0002,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"Concretely, on question
answering (HotpotQA) and fact verification (Fever), ReAct overcomes prevalent
issues of hallucination and error propagation in chain-of-thought reasoning by
interacting with a simple Wikipedia API, and generating human-like task-solving
trajectories that are more interpretable than baselines without reasoning traces.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_002_s0490,agent_002,agent_002_c0002,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"Furthermore, on two interactive decision making benchmarks (ALFWorld and
WebShop), ReAct outperforms imitation and reinforcement learning",,,,,,0,none,low,Vague keywords without structural confirmation.,1
agent_002_s0493,agent_002,agent_002_c0003,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"1
INTRODUCTION
A unique feature of human intelligence is the ability to seamlessly combine task-oriented actions with
verbal reasoning (or inner speech, Alderson-Day & Fernyhough, 2015), which has been theorized to
play an important role in human cognition for enabling self-regulation or strategization (Vygotsky,
1987; Luria, 1965; Fernyhough, 2010) and maintaining a working memory (Baddeley, 1992).",,,,,,0,none,high,Structural non-event: document structural text,0
agent_002_s0502,agent_002,agent_002_c0005,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"have hinted at the possibility of combining verbal reasoning with interactive decision
making in autonomous systems.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_002_s0511,agent_002,agent_002_c0007,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"(b) Chain-of-thought prompting (CoT) (Wei et al.,
2022), which removes actions and observations and serve as",,,,,,0,none,high,"No matching rules, default to none.",0
agent_002_s0525,agent_002,agent_002_c0010,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"More details are in Appendix B.1.
3.3
RESULTS AND OBSERVATIONS
ReAct outperforms Act consistently
Table 1 shows HotpotQA and Fever results using PaLM-
540B as the base model with different prompting methods.",,,,,,1,benchmark,high,"eval/score reporting on named benchmark(s): fever, hotpotqa",0
agent_002_s0530,agent_002,agent_002_c0011,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"3Of all trajectories with correct final answers, those with 7 steps on HotpotQA and 5 steps on FEVER only
take up 0.84% and 1.33% respectively.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_002_s0531,agent_002,agent_002_c0011,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"5

Published as a conference paper at ICLR 2023
Type
Definition
ReAct
CoT
Success
True positive
Correct reasoning trace and facts
94%
86%
False positive
Hallucinated reasoning trace or facts
6%
14%
Failure
Reasoning error
Wrong reasoning trace (including failing to recover from repetitive steps)
47%
16%
Search result error
Search return empty or does not contain useful information
23%
-
Hallucination
Hallucinated reasoning trace or facts
0%
56%
Label ambiguity
Right prediction but did not match the label precisely
29%
28%
Table 2: Types of success and failure modes of ReAct and CoT on HotpotQA, as well as their
percentages in randomly selected examples studied by human.",,,,,,0,none,high,"Structural non-event: code snippet, bibliography/citation pattern",0
agent_002_s0532,agent_002,agent_002_c0011,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"CoT
On the other hand, ReAct outperforms CoT on Fever (60.9 vs.",,,,,,1,benchmark,high,eval/score reporting on named benchmark(s): fever,0
agent_002_s0536,agent_002,agent_002_c0012,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"Fever claims for SUPPORTS/REFUTES might only
differ by a slight amount (see Appendix D.1), so acting to retrieve accurate and up-to-date knowledge
is vital.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_002_s0551,agent_002,agent_002_c0014,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"This is perhaps an expected trade-off between
factuality and flexibility, which motivates our proposed strategies of combining two methods.",,,,,,1,method_proposed,high,our proposed reference,0
agent_002_s0557,agent_002,agent_002_c0015,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"While two ReAct + CoT-SC methods are advantageous at one task each, they both
significantly and consistently outperform CoT-SC across different number of samples, reaching
CoT-SC performance with 21 samples using merely 3-5 samples.",,,,,,0,none,low,Vague keywords without structural confirmation.,1
agent_002_s0567,agent_002,agent_002_c0016,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"6

Published as a conference paper at ICLR 2023
8b
62b
540b
size
0
5
10
15
20
25
30
HotpotQA EM
learning = prompt",,,,,,0,none,high,"Structural non-event: bibliography/citation pattern, math/notation",0
agent_002_s0577,agent_002,agent_002_c0018,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"To prompt ReAct, we randomly annotate three trajectories
from the training set for each task type, where each trajectory includes sparse thoughts that (1)
decompose the goal, (2) track subgoal completion",,,,,,0,none,high,"No matching rules, default to none.",0
agent_002_s0595,agent_002,agent_002_c0021,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"We compare to an imitation learning (IL) method
5Micheli & Fleuret (2021) finetuned a GPT-2 model on 3553 task instances and achieved a much improved
performance than BUTLER, but it is trained on all task types, thus not included as a baseline.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_002_s0598,agent_002,agent_002_c0022,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"7

Published as a conference paper at ICLR 2023
Method
Pick
Clean
Heat
Cool
Look
Pick 2
All
Act (best of 6)
88
42
74
67
72
41
45
ReAct (avg)
65
39
83
76
55
24
57
ReAct (best of 6)
92
58
96
86
78
41
71
ReAct-IM (avg)
55
59
60
55
23
24
48
ReAct-IM (best of 6)
62
68
87
57
39
33
53
BUTLERg (best of 8)
33
26
70
76
17
12
22
BUTLER (best of 8)
46
39
74
100
22
24
37
Table 3: AlfWorld task-specific success rates (%).",,,,,,0,none,high,Structural non-event: bibliography/citation pattern,0
agent_002_s0624,agent_002,agent_002_c0025,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"However, IM’s “inner monologue” is limited to observations of the environment
state and what needs to be completed by the agent for the goal to be satisfied.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_002_s0638,agent_002,agent_002_c0027,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"More details about ReAct-IM is in
Appendix B.2. An example prompt for ReAct-IM can be found in Appendix C.4, and an example
trajectory in Appendix D.2.3.
8

Published as a conference paper at ICLR 2023
5
RELATED WORK
Language model for reasoning
Perhaps the most well-known work of using LLMs for reasoning
is Chain-of-Thought (CoT) (Wei et al., 2022), which reveals the ability of LLMs to formulate their
own “thinking procedure” for problem solving.",,,,,,0,none,high,Structural non-event: bibliography/citation pattern,0
agent_002_s0639,agent_002,agent_002_c0027,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"Several follow-up works have since been performed,
including least-to-most prompting for solving complicated tasks (Zhou et al., 2022), zero-shot-
CoT (Kojima et al., 2022), and reasoning with self-consistency (Wang et al., 2022a).",,,,,,1,trend_application,high,contains multiple citation patterns indicating literature trend,0
